image,damage,damage_label,psnr,ssim,edge_ssim,deltaE00,hist_intersection,lpips,clip_cosine,panel_path,restore_error
div2k_0000,awgn,Additive Gaussian Noise,14.813742603414465,0.11065907031297684,0.026241959255894523,12.889116287231445,0.6891276041666266,0.4467858374118805,0.9787833094596863,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0000_awgn_panel.jpg,
div2k_0000,pgauss,Poisson-Gaussian Noise,18.789995751296647,0.42485013604164124,0.10333339104276448,8.8658447265625,0.6413283575148436,0.36376047134399414,0.9785062074661255,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0000_pgauss_panel.jpg,
div2k_0000,speckle,Speckle Noise,18.744421653814854,0.4133598804473877,0.09813749566926529,8.735465049743652,0.7779947916666213,0.3404799997806549,0.9842684268951416,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0000_speckle_panel.jpg,
div2k_0000,snp,Salt & Pepper Noise,19.58217704623501,0.46565356850624084,0.11756172957762341,8.048484802246094,0.6095610119047264,0.3332919180393219,0.9826359152793884,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0000_snp_panel.jpg,
div2k_0000,jpeg,JPEG Compression Artifacts,18.72554918768849,0.4344778060913086,0.09228259558272152,8.849634170532227,0.4078252883184287,0.3886243999004364,0.9263994097709656,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0000_jpeg_panel.jpg,
div2k_0000,scratch,Scratches,17.78280210395551,0.3285883367061615,0.05634049041342312,8.956588745117188,0.8805396670386392,0.3275638818740845,0.9797315001487732,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0000_scratch_panel.jpg,
div2k_0000,tear,Torn Region,17.91877859823758,0.45237958431243896,0.15440371118696616,8.187291145324707,0.8491559709820934,0.2611630856990814,0.9796045422554016,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0000_tear_panel.jpg,
div2k_0000,faded,Faded Colors,17.634193008271158,0.4348747730255127,0.10458867686793091,10.624433517456055,0.3444010416666466,0.32077938318252563,0.9678163528442383,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0000_faded_panel.jpg,
div2k_0000,blur,Blurred Image,17.644128039007246,0.2535547912120819,0.024109126992045753,9.154695510864258,0.871442522321378,0.3722284138202667,0.9872508645057678,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0000_blur_panel.jpg,
div2k_0001,awgn,Additive Gaussian Noise,14.849829494827318,0.2566187083721161,0.011806569225161379,15.543734550476074,0.26202683221724665,0.48229339718818665,0.952810525894165,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0001_awgn_panel.jpg,
div2k_0001,pgauss,Poisson-Gaussian Noise,19.393954858357205,0.4857299327850342,0.046048627775861814,9.352785110473633,0.4107317243303332,0.39196112751960754,0.9218759536743164,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0001_pgauss_panel.jpg,
div2k_0001,speckle,Speckle Noise,19.00536827637462,0.5772481560707092,0.09022654310976884,8.98728084564209,0.7788085937499548,0.25397613644599915,0.9608543515205383,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0001_speckle_panel.jpg,
div2k_0001,snp,Salt & Pepper Noise,18.467072835889972,0.4906822144985199,0.06616278189772563,9.598112106323242,0.5134393601190177,0.28548964858055115,0.9653381705284119,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0001_snp_panel.jpg,
div2k_0001,jpeg,JPEG Compression Artifacts,12.653108330456512,0.15313033759593964,0.06834549311704918,21.427852630615234,0.454758417038664,0.4402781128883362,0.9773640632629395,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0001_jpeg_panel.jpg,
div2k_0001,scratch,Scratches,18.63300718372033,0.6027588248252869,0.157347365082757,8.302163124084473,0.6388055710565105,0.23692864179611206,0.9269424676895142,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0001_scratch_panel.jpg,
div2k_0001,tear,Torn Region,16.807279855953936,0.6361380815505981,0.2123742345715336,8.59994125366211,0.6464727492559147,0.16913005709648132,0.9154731035232544,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0001_tear_panel.jpg,
div2k_0001,faded,Faded Colors,13.141685863442898,0.4583122730255127,0.20421946331680502,15.784210205078125,0.009533110119047065,0.23094700276851654,0.9438101053237915,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0001_faded_panel.jpg,
div2k_0001,blur,Blurred Image,18.341540040171402,0.5610194206237793,0.12133725643143298,9.91855239868164,0.6613071986606758,0.357451856136322,0.9460819959640503,/content/drive/MyDrive/restoration_results_gemini/gen/div2k_0001_blur_panel.jpg,
